PostId;StudentId;Content
3;356;"Die vorliegende Aufgabe beschreibt eine Situation, in der Mitarbeiter der Firma verbales Brainstorming nutzen, um neue Ideen zu generieren. Stroebe und Nijstad (2004) beschreiben, dass es bei Face-to-Face (FTF) Brainstorming unvermeidlich zurProduktionsblockierung kommt. Hierbei knnen kognitive Prozesse unterbrochen werden, sodass die Ideengenerigung negativ beeinflusst wird. Der Einfluss der Unterbrechung wird deutlich, wenn man die Search for Ideas in Associative Memory - Theorie (SIAM) nher betrachtet (Nijstad, 2000). Grundlage von SIAM sind zwei Gedchtnissysteme. Zum Einen das Arbeitsgedchtnis, welches bewusste mentale Operationen ausfhrt. Zum Anderen das Langzeitgedchtnis, in dem das gesamte Wissen eines Individuums gespeichert ist. Im Prozess des Brainstorming geht man nach der SIAM-Theorie folgenderweise von zwei Phasen aus. Der Wissensaktivierung und der Ideengeneriung. Zunchst muss die Person das Wissen ber die aktuelle Situation oder das Problem aufrufen, um anschlieend Lsungsvorschlge in Form von Ideen zu generieren."
4;356;"Hi zusammen! Ich hab schon mal auf die schnelle ein paar Zeilen geschrieben. Werd das die Tage aber noch ergnzen bzw. berarbeiten. Viele Gre,Felix"
5;384;"Stroebe und Nijstad (2004) beschreiben, dass es bei Face-to-Face (FTF) Brainstorming unvermeidlich zur Produktionsblockierung kommt."
7;384;"Hallo, sollen wir vielleicht noch einmal ein paar Stichpunkte sammeln, worauf geachtet werden sollte, damit Brainstorming in einer solchen Situation gelingt? Liebe Gre"
8;377;"Jedoch fhren lngere Wartezeiten whrend das Brainstormings zur Unterbrechung von Gedankengngen. Die Aktivierung von sogenannten Images (Elemente des Langzeitgedchtnisses) sowie die Weiterfhrung von Gedankengngen werden blockiert. Um Produktionsblockierungen zu vermeiden und mehr Ideen sammeln zu knnen, wre eine Mglichkeit, dass die 8 Mitarbeiter sich bereits im Voraus individuell Gedanken ber Ideen und Lsungvorschlge machen und diese schriftlich festhalten. In dem Meeting knnen diese vorgestellt und diskutiert werden."
10;477;"Halli Hallo, ich werde leider erst morgen Abend dazu kommen mich in Ruhe daran zu setzen. Also ich mache auf jeden Fall was :) LG Nessi "
11;384;"Die vorliegende Aufgabe beschreibt eine Situation, in der 8 Mitarbeiter einer StartUp Software- Firma verbales Brainstorming nutzen, um Ideen zu generieren, wie man im Broalltag den Abfall reduzieren kann. Alex Osborn (1953) nannte das generieren von Ideen Brainstorming. Er gliedert den kreativen Problemlsungsprozess in drei Phasen: Fact-Finding, Idea-Finding und Solution-Finding. Die zweiten Phase Idea-Finding beruht auf zwei Prinzipien: Aufschub von Kriktik und Quantitt erzeugt Qualitt. Damit nach ihm Brainstorming auch funktioniert, leitete Osborn aus den Phasen vier Regeln ab: (1) Je mehr Ideen, desto besser; (2) je ungewhnlicher die Ideen, desto besser; (3) verbessere und ergnze bereits genannte Ideen; (4) enthalte Dich jeglicher Kritik. Osborn's These, dass Gruppenbrainstorming kreative Krfte freisetzt, wenn man keine Kritik auert, wurde widerlegt. Es wurde bewiesen, dass Brainstorming in Gruppen weniger effektiv ist. Stroebe und Nijstad (2004) zum Beispiel beschreiben, dass es bei Face-to-Face (FTF) Brainstorming unvermeidlich zur Produktionsblockierung kommt. Wenn die Mitarbeit jedoch den Eindruck haben, in Gruppen produktiver zu sein als alleine, wre eine weitere Mglichkeit, die Zweipersonengruppe, die Blockierungseffekte minimiert. Es knnten 4 Gruppen Ideen und Lsungsvorschlge sammeln und sie dann nacheinander vorstellen und diskutieren."
12;384;"Osborn's These, dass Gruppenbrainstorming kreative Krfte freisetzt, wenn man keine Kritik uert, wurde widerlegt."
13;477;"Die vorliegende Aufgabe beschreibt eine Situation, in der 8 Mitarbeiter einer StartUp Software-Firma verbales Brainstorming nutzen, um Ideen zu generieren, wie man im Broalltag den Abfall reduzieren kann. Die zweite Phase Idea-Finding beruht auf zwei Prinzipien: Aufschub von Kritik und Quantitt erzeugt Qualitt. Damit nach ihm Brainstorming auch funktioniert, leitete Osborn aus den Phasen vier Regeln ab: (1) Je mehr Ideen, desto besser; (2) je ungewhnlicher die Ideen, desto besser; (3) verbessere und ergnze bereits genannte Ideen und (4) enthalte Dich jeglicher Kritik. Zudem besteht die Mglichkeit, dass die 8 Mitarbeiter whrend des Brainstormings ihre Ideen direkt notieren. Somit wrde man die Produktionsblockierung umgehen."
14;477;"Hierbei knnen kognitive Prozesse unterbrochen werden, sodass die Ideengenerirung negativ beeinflusst wird. Der Einfluss der Unterbrechung wird deutlich, wenn man die Search for Ideas in Associative Memory - Theorie (SIAM) nher betrachtet (Nijstad, 2000). Zudem gibt es die Mglichkeit des elektronischen Brainstormings. Hierbei mssten die Gruppenmitglieder, vor dem Meeting im gemeinsamen Raum, sepearat an vernetzten Computern arbeiten und whrend der Ideeneingabe Ideen anderer auf ihrem Monitor ablesen knnen. Denn einige Studien zum Brainstorming zeigten, dass der schriftliche Austausch von Ideen zu Produktivittsgewinnen fhen kann (Paulus & Yang, 2000). Des Weiteren sollten beim Brainstorming Pausen eingelegt werden. Somit wird gesichert, dass alle Gruppenmitglieder auch dauerhaft konzentriert arbeiten knnen. Schlielich braucht ein guter Brainstorming eine/n Moderator/in. Diese/r ist fr die Motivation, reibungslose Durchfhrung, Sicherung und das Zeitmanagment zustndigt."
