PostId;StudentId;Content
3;352;"Hallo zusammen! hab grade gesehen, dass wir jetzt anscheinend in neuen gruppen sind.. wer wre denn diese woche mit dabei?"
4;455;"Hi,Ich bin dabei :) "
5;352;"BrainstormingDas  Brainstorming ist vor allem fr die Ideenfindung hilfreich. Dabei stehen zwei Aspekte im Vordergrund: Es darfkeine Kritik whrend des Brainstormings geuert werden undQuantitt erzeugt Qualitt. Weiterhin gelten fr das Brainstorming die folgenden vier Regeln:Je mehr Ideen, desto besserJe ungewhnlicher die Ideen, desto besser Verbessere und ergnze bereits genannte IdeenEnthaltung von KritikMgliche Ursachen fr ein Scheitern des BrainstormingsEine mgliche Ursache fr das Scheitern ist die Bewertungsangsthypothese. Das bedeutet, dass Mitarbeiter ihre Ideen nicht uern, da sie befrchten, dass ihre berlegungen falsch sein knnten. Eine weitere Ursache ist die Trittbrettfahrerhypothse. Hierbei kann es geschehen, dass sich einzelne Mitarbeiter zurcklehnen, da sie sich darauf verlassen, dass andere schon die Arbeit machen werden, obwohl diese Mitarbeiter vielleicht sogar gute Ideen gehabt htten oder ber Informationen verfgen, die nicht allen zu Verfgung stehen. Die Produktionsblockierungshypothese besagt, dass die Produktivitt zum Beispiel dadurch gemindert wird, dass immer nur eine Person reden kann. Dies kann weiterhin dazu fhren, dass man hufig unterbrochen wird oder dass man beim Nachdenken gestrt wird, da man die Aufmerksamkeit auf die sprechende Person richten muss."
6;352;"Hab schon mal angefangen was zu schreiben und hoffe, dass sich die anderen zwei auch noch melden :D"
7;488;"Hallo ich bin auch noch dabei. sorry fr die spte Meldung.Viele Gre,Mehtap"
8;455;"Sollen wir die Aufgabe wieder aufteilen, so dass jeder einen bestimmten Teil bearbeitet?Ich muss nmlich bis Samstag Abend immer lange arbeiten, wrde meinen Teil der Aufgabe dann am Sonntag bearbeiten bzw meinen Abschnitt am Sonntag schreiben. Und ich mchte nicht dass nachher gedacht wird ich arbeite nicht mit oder so :D "
12;483;"Hallo zusammen :)ich werde ca. 100 Wrter ber Die theoretische Erklrung der Leistungsverluste schreiben .Ich hoffe das passt."
13;483;"Die theoretische Erklrung der LeistungsverlusteDie Herstellungvon Ideen gehrt zum Kognitiven Prozess und findet im Gehirn des einzelnen Gruppenmitgliedesstatt. Andere Gruppenmitglieder haben Auswirkung auf Individuelle Prozess. Sie Einflssensich in besonderes durch Kommunikation. Theorie der Ideengenierung erklrt dieWirkung der Kommunikation auf die Individuellen Prozesse. Kognitive Theorie vonIdeengenerierung besteht aus zwei Gedchnissystem, einem begrenzten Kurzzeit (Arbeitsgedchnis), hier wird mentale Operationen erklrt. Eine weitere Gedchnissystem ist unbegrenztesLangzeitgedchtnis, in dem gesamte Information gespeichert wird. Blockierung verursacht dieBelastung, da Ideen wiederholt werden mssen, um sie nicht zu vergessen. Wenndas Gruppenmitglied mit Sprechen aufgehrt hat, Werden die neue Ideen erfolgt."
14;352;"Die theoretische Erklrung der LeistungsverlusteDie Herstellung von Ideen gehrt zum Kognitiven Prozess und findet im Gehirn des einzelnen Gruppenmitgliedes statt. Theorie der Ideengenierung erklrt die Wirkung der Kommunikation auf die Individuellen Prozesse. Kognitive Theorie von Ideengenerierung besteht aus zwei Gedchnissystem, einem begrenzten Kurzzeit (Arbeitsgedchnis), hier wird mentale Operationen erklrt."
16;488;"so Leute,Ich hab jetzt ein bisschen Zeit und ergnze dann einfach weiter im Text und Larissa du kannst dann einfach auch fehlende Info hinzufgen. Hat mit der Aufteilung offenbar nicht so geklappt... deshalb machen wir das einfach Individuell. Viele Gre,Mehtap"
