PostId;StudentId;Content
3;378;"Hallo,hat einer von euch eine Idee, wie man die Aufgabe mit 5 Punkten untereinander aufteilen knnte?Bisher fllt mir nur ein, dass Brainwriting wohl die beste Lsung wre, damit der Produktionsprozess nicht durch irgendwas blockiert ist. Aber was wren weitere Punkte?"
4;364;"Hi Michelle,erstmal sorry, dass du so lange auf eine Antwort warten musstest :)Dein Punkt spricht ja schon ber eine Lsung der Probleme, die das Brainstorming mit sich bringt. Das wre also etwas, fr das Ende des Textes wrd ich sagen. Die Aufgabe ist ja, einen Text ber die Probleme zu verfassen, die Brainstorming mit sich bringt. Ich habe jetzt schon mal eine kleine Einleitung und ein wenig Text ber Produktionsblockierung geschrieben.Weitere Punkte wren ja zum Beispiel die Bewertungsangsthypothese (S. 2) oder Ideengenerierung in Gruppen (S.4). Dazu kann dann ja jemand anderes etwas schreiben (wenn jeder 120 Wrter bernehmen wrde :) ).Wenn ihr noch Kritik/Ergnzungen/Verbesserungen zu meinem Text habt, nur zu!LGJanina"
5;364;"In folgendem Text behandeln wir die Frage, was beachtet werden muss, wenn Brainstorming zu einem guten Ergebnis fhren soll. Die Lsungsfindung soll sich auf die Reduktion von Mll am Arbeitsplatz beziehen. Zunchst muss beachtet werden, dass eine Gruppe von 8 Personen eine relativ groe Gruppe ist. Wenn sich also alle Personen in einem Raum befinden und verbal eine Lsung fr das Problem suchen, kommt es zwangslufig zu Kommunikationsproblemen und dadurch zu Behinderung von Ideenfindungen. Da immer nur eine Person das Wort haben kann (Turn-taking), kommt es bei den anderen Personen zu Produktionsblockierungen. Sie mssen ber die Idee/den Einwand der gerade redenden Person nachdenken und gegebenenfalls darauf eingehen, sodass sie ihre eigenen Gedanken zu diesem Zeitpunkt nicht zum Ausdruck bringen knnen und diese vielleicht sogar vergessen. Dies behindert eine einwandfreie Lsungsfindung enorm. Je kleiner die Gruppe also ist, desto produktiver wre diese. Eine Aufteilung der 8 Mitarbeiter in zwei oder vielleicht sogar 4 Gruppen, die sich spter wieder zusammenfinden und ihre Ideen den anderen Gruppen zu prsentieren, wre eine mgliche Lsung, dieser Produktionsblockierung vorzubeugen."
6;364;"Ich sehe gerade, dass wir ja nur 4 in der Gruppe sind... Dann muss jeder 150 Wrter schreiben ;)"
7;392;"In folgendem Text behandeln wir die Aufgabon beachtet werden muss, wenn Brainstorming zu einem guten Ergebnis fhren soll. Innerhalb der Kleingruppen sollten verantwoeiten"
8;392;"Hallo zusammen,von meinem Smartphone aus funktioniert das Etherpad nicht korrekt und ich bin bis Sonntag in Berlin, weshalb ich gerade nicht auf meinen Rechner zugreifen kann. Knnt ihr bitte meinen Part einfgen (s.u.). Dankeschn und liebe Gre, JennyInnerhalb der Kleingruppen sollte klare Ziele wie auch Teilziele vereinbart werden. Dabei kann auf bewhrte Methoden aus dem Projektmanagement zurckgegriffen werden. Weiterhin sind gruppendynamische Phnomene nicht auer Acht zu lassen. So sollten die Verantwortlichkeiten und Aufgaben eindeutig definiert und verteilt werden, um insbesondere einer Verantwortungsdiffusion entgegenwirken zu knnen.  Auch sollte ein Gruppensprecher bestimmt werden, der den berblick ber den Gruppenprozess behlt und gezielt intervenieren kann, falls die Zielerreichung gefhrdet wird."
9;378;"Hi Janina!Dann habe ich die Aufgabe wohl zu komplex verstanden :D Aber deine Idee ist klasse, ich wrde dann den Punkt Ideengenerierung in Gruppen bernehmen :)"
10;378;"Innerhalb der Kleingruppen sollte klare Ziele wie auch Teilziele vereinbart werden. Dabei kann auf bewhrte Methoden aus dem Projektmanagement zurckgegriffen werden. Weiterhin sind gruppendynamische Phnomene nicht auer Acht zu lassen. So sollten die Verantwortlichkeiten und Aufgaben eindeutig definiert und verteilt werden, um insbesondere einer Verantwortungsdiffusion entgegenwirken zu knnen. Auch sollte ein Gruppensprecher bestimmt werden, der den berblick ber den Gruppenprozess behlt und gezielt intervenieren kann, falls die Zielerreichung gefhrdet wird. (Anmerkung fr die Prfer: Text von Jennifer Apolinrio-Hagen. Sollte eingefgt werden, da sie ihr Etherpad nicht nutzen konnte. Bitte im Gruppenforum nachschauen! )"
11;378;"Hey Jenny,habe deinen Text ins Etherpad eingefgt, rot markiert und fr die Prfer noch dazugeschrieben, dass es dein Part ist. Jeder von uns hat ja eine Farbe zugewiesen bekommen"
13;378;")Fr die Ideengenerierung ist es  wichtig, dass Vorwissen besteht. Wer alsober keine Infos verfgt, wie man bspw. Mll trennen kann und hnliches, demfehlen wesentliche Anleitungen, um berhaupt zu einer Problemlsung zu finden. Denn Ideen stellen laut der SIAM-Theorie nichts anderes als Problemlsungendar. Die Entwicklung von Ideen ist ein Zwei-Phasen-Prozess: Die erste ist dieWissensaktivierung, die zweite die Ideengenerierung. Damit berhaupt Wissenabgerufen werden kann, muss das Gedchtnis auf Sondierungscues zurckgreifen, um im Langzeitgedchtnis berhaupt nachInfos suchen zu knnen. Das Image, welches dann abgerufen wird, um Ideen zugenerieren hngt von den Sondierungscues und Elementen des Images ab. Ist ein Image ausgewhlt, knnen neue Assoziationen gebildetwerden. Dadurch entstehen die Ideen, die dann via Brainwriting zum Beispielaufgeschrieben und spter der Gruppe mitgeteilt werden knnen. Brainwritingbietet sich insofern an, dass es sich um eine Gruppe von 8 Personen handelt,die sich in einem Raum befinden. Es ist daher sinnvoll, wenn eine Zeitfestgelegt wird, in denen Personen stumm brainstormen und dies erst nach Ablaufder Zeit den restlichen Mitglieder mitteilen, um zu verhindern, dass derIdeengenerierungsprozess unntigen Wartezeiten ausgeliefert wird."
14;378;"Ach und ich habe bei meinem Teil jetzt auch noch ein bisschen das Brainwriting mit reingebracht."
