PostId;StudentId;Content
3;52;"Das Brainstorming nach Alex Osborn wird zum Idea-finding genutzt und ist eine kreative Technik zum Problemlsen. Zum Effektiven Brainstorming mssen einige Regeln beachtet werden. Laut Osborn funktioniert der kreative Prozess besser, je mehr Ideen gennant werden. Dabei ist es sogar wnschenswert, dass auch ungewhnliche Ideen genannt werden, um die Kreativitt der anderen zu frdern. Wichtig ist zudem, dass die bereits genannten Ideen verbessert und ergnzt werden sollen. Um nicht vom kreativen Prozess abzuweichen, ist es laut Osborn ntig, dass nicht auf die erhaltene Kritik reagiert wird. Aus der Quantitt des gesammelten Materials soll so qualitatives hervorgehen. Diese Regeln sollten folglich vorab besprochen und festgelegt werden, um ein effektives Arbeiten in der Gruppe zu frdern. Weiterhin muss jedoch beachtet werden, dass psychologische Studien Teile dieses Vorgehens mitunter kritisieren, da einige komplexe zwischenmenschliche Vorgnge nicht beachtet  werden, die wiederum zu einer geringeren Kreativen Leistung fhren knnen. Darunter ist beispielsweise die Bewertungsangsthypothese zu fassen, die aussagt, dass Menschen sich zurckhalten aus Angst etwas falsches zu sagen, insbesondere wenn davon ausgegangen wird, dass sich die anderen Beteiligten besser mit dem Themenbereich auskennen. Um diesem Phnomen vorzubeugen wre eine anonyme Abgabe der Ideen hilfreich. Diese knnte beispielsweise mittels einer Onlineplattform realisiert werden."
4;52;"Hey Leute,ich hab mal den Anfang gemacht und schonmal was geschrieben. Man knnte auf jeden Fall auch noch auf Social Loafing usw. eingehen... Raffael "
5;441;"Laut Osborn funktioniert der kreative Prozess besser, je mehr Ideen genannt werden."
6;441;"Hallo, danke fr den Anfang. Ich werde die Tage auch etwas hinzufgen. Wre es in Ordnung, wenn ich deinen Teil dann evt. noch ein bisschen verndere? Finde es derzeit sehr gut beschrieben, allerdings sehr zusammenhngend und dadurch schwierig zu verstehen. Also wenn du verstehst was ich meine ;-) LG Anastasia "
7;471;"Hey, ich werd mich auch heute mal ran machen. Sieht aber in der Tat schon mal nach was aus. Ansonsten wrde ich sagen editier wie du lustig bist.. hier wird ja fr jedes Pisswort ne Version gespeichert, also nix unwiderruflich ;)Beste Gre"
8;471;"Das Brainstorming nach Alex Osborn (1953) wird zum Idea-finding genutzt und ist eine kreative Technik zum Problemlsen. Laut Osborn (1953) funktioniert der kreative Prozess besser, je mehr Ideen genannt werden. Um nicht vom kreativen Prozess abzuweichen, ist es laut Osborn (1953) ntig, dass nicht auf die erhaltene Kritik reagiert wird. Osborn, A. F. (1953). Applied imagination (2. Aufl. 1957). NewYork: Scribner."
9;471;"Weiterhin muss jedoch beachtet werden, dass psychologische Studien Teile dieses Vorgehens mitunter kritisieren, da einige komplexe zwischenmenschliche Vorgnge nicht beachtet  werden, die wiederum zu Leistungseinbuen beim Brainstorming fhren knnen. Darunter ist beispielsweise die Bewertungsangsthypothese zu fassen, die aussagt, dass Menschen sich zurckhalten aus Angst etwas Falsches zu sagen, insbesondere wenn davon ausgegangen wird, dass sich die anderen Beteiligten besser mit dem Themenbereich auskennen. Ein weiterer Ansatz, um den Produktionsverlust zu erklren, ist die Trittbrettfahrerhypothese. Nach dieser Hypothese wird mit Trittbrettfahren das Profitieren von Leistungen anderer gemeint. Zwei Ursachen werden hierfr genannt: 1. Geringe Identifizierbarkeit des individullen Beitrages & 2. Zweifel an Relevanz des eigenen Beitrages (Stroebe & Nijstad, 2004). New York: Scribner. Stroebe, W. , & Nijstad, B. A. (2004). Warum Brainstorming in Gruppen Kreativitt vermindert. Psychologische Rundschau, 55(1), 2-10."
10;471;"Zum effektiven Brainstorming mssen einige Regeln beachtet werden. Es muss jedoch beachtet werden, dass psychologische Studien Teile dieses Vorgehens mitunter kritisieren, da einige komplexe zwischenmenschliche Vorgnge nicht beachtet  werden, die wiederum zu Leistungseinbuen beim Brainstorming fhren knnen. Jedoch konnten diese zwei Hypothesen nicht als Hauptgrund fr die Leistungseinbuen beim Brainstorming identifiziert werden. Stroebe & Nijstad (2004) pldieren in diesem Zusammenhang fr die Produktionsblockierung als Hauptgrund fr den Produktionsverlust. Hierbei wird davon ausgegangen, dass   (Um diesem Phnomen vorzubeugen wre eine anonyme Abgabe der Ideen hilfreich. )Osborn, A."
11;471;"Stroebe & Nijstad (2004) pldieren in diesem Zusammenhang fr die Produktionsblockierung als Hauptgrund fr den Produktionsverlust (auch Turn-taking genannt). Hierbei wird davon ausgegangen, dass innerhalb einer Brainstorminggruppe zu jedem Zeitpunkt nur eine Person das Wortergreiffen kann. Dabei gehen die Autoren davon aus, dass durch die so enstandenen Wartezeiten der kognitive Prozess der Ideengenerierung gestrt wird. Als Verfahren gegen die Produktionsblockierung werden Brainwriting sowie elektronisches Brainstorming vorgeschlagen. Brainwriting meint, zunchst die Ideen schrifftlich zu verfassen und anschleiend den Gruppenteilnehmern darzubieten und elektronisches Brainstorming bedeutet, dass die Individuen seperat an vernetzten Endgerten die Ideen verfassen und gleichzeitig die der anderen Individue dargeboten bekommen. In Hinblick auf die Ausgangssituation der Brainstorminggruppe Abfall (Brainstorming in einem Raum) bietet sich das Brainwriting-Verfahren in anonymisierter Form an. So wird zum einen die Produktionsblockierung weitestgehend umgegangen, aber auch der Bewertungsangst durch andere Gruppenmitglieder wird durch die annonyme Abgabe entgegengewirkt. Da jeder Teilnehmer eine Idee auch in physischer Form abgeben muss, wird auch das Trittbrettfahren erschwert. -> Gerne Verbessern bzw. Ergnzen! (Um diesem Phnomen vorzubeugen wre eine anonyme Abgabe der Ideen hilfreich."
12;471;"Hierbei wird davon ausgegangen, dass innerhalb einer Brainstorminggruppe zu jedem Zeitpunkt nur eine Person das Wort ergreiffen kann. Brainwriting meint, zunchst die Ideen schrifftlich zu verfassen und anschleiend den Gruppenteilnehmern darzubieten und elektronisches Brainstorming bedeutet, dass die Individuen seperat an vernetzten Endgerten die Ideen verfassen und gleichzeitig die der anderen Individuen dargeboten bekommen."
